,mac,vendor
427,00:a0:57:16:81:b6,Lancom Systems GmbH
428,00:20:a6:5b:98:e4,Proxim Wireless
430,dc:9f:db:1c:c2:73,Ubiquiti Networks Inc
431,00:c8:8b:11:76:e4,"Cisco Systems, Inc"
432,fc:5b:39:68:60:64,"Cisco Systems, Inc"
433,80:2a:a8:54:62:d0,Ubiquiti Networks Inc
434,b0:5b:67:29:47:9b,"Huawei Tech Co, Ltd"
436,00:c8:8b:1c:66:c4,"Cisco Systems, Inc"
437,00:2a:10:20:d5:cb,"Cisco Systems, Inc"
438,dc:9f:db:1c:c4:91,Ubiquiti Networks Inc
439,00:c8:8b:11:76:2b,"Cisco Systems, Inc"
440,44:d9:e7:91:e0:af,Ubiquiti Networks Inc
441,00:20:a6:5b:98:e4,Proxim Wireless
443,00:2a:10:20:c5:e4,"Cisco Systems, Inc"
445,00:20:a6:5b:98:e3,Proxim Wireless
447,00:c8:8b:45:c6:9b,"Cisco Systems, Inc"
449,04:18:d6:82:1e:3c,Ubiquiti Networks Inc
450,e4:aa:5d:14:90:04,"Cisco Systems, Inc"
451,00:2a:10:f3:9a:fb,"Cisco Systems, Inc"
452,80:2a:a8:55:62:d0,Ubiquiti Networks Inc
454,44:d9:e7:03:11:81,Ubiquiti Networks Inc
455,00:20:a6:5b:98:e4,Proxim Wireless
459,80:2a:a8:54:62:d0,Ubiquiti Networks Inc
460,00:20:a6:5b:98:e3,Proxim Wireless
462,80:2a:a8:55:62:d0,Ubiquiti Networks Inc
465,80:2a:a8:55:62:d0,Ubiquiti Networks Inc
467,00:2a:10:f3:9a:fb,"Cisco Systems, Inc"
468,14:5f:94:a0:93:cc,"Huawei Tech Co, Ltd"
470,80:2a:a8:55:62:d0,Ubiquiti Networks Inc
472,b0:5b:67:29:47:9b,"Huawei Tech Co, Ltd"
473,20:f8:5e:cd:2e:b6,Delta Electronics
475,00:2a:10:f3:9c:af,"Cisco Systems, Inc"
476,00:c8:8b:45:c6:94,"Cisco Systems, Inc"
477,e4:aa:5d:14:90:0b,"Cisco Systems, Inc"
479,00:2a:10:f4:b0:5b,"Cisco Systems, Inc"
481,00:2a:10:f3:9c:a0,"Cisco Systems, Inc"
483,20:f8:5e:cd:2e:b6,Delta Electronics
485,80:2a:a8:54:62:d0,Ubiquiti Networks Inc
486,00:c8:8b:45:c6:94,"Cisco Systems, Inc"
487,00:c8:8b:45:c6:9b,"Cisco Systems, Inc"
491,00:10:7f:13:5b:b7,"Crestron Electronics, Inc"
492,00:c8:8b:45:c6:9b,"Cisco Systems, Inc"
493,84:3d:c6:06:01:ff,"Cisco Systems, Inc"
494,00:c8:8b:45:c6:94,"Cisco Systems, Inc"
495,00:2a:10:f3:9c:1f,"Cisco Systems, Inc"
497,00:2a:10:f3:9c:1f,"Cisco Systems, Inc"
498,00:2a:10:f3:9c:10,"Cisco Systems, Inc"
499,00:2a:10:f3:9c:af,"Cisco Systems, Inc"
500,00:c8:8b:1c:66:cb,"Cisco Systems, Inc"
501,00:2a:10:f3:9b:b0,"Cisco Systems, Inc"
502,00:2a:10:f3:9c:af,"Cisco Systems, Inc"
503,00:c8:8b:1c:66:d4,"Cisco Systems, Inc"
504,84:3d:c6:06:01:f0,"Cisco Systems, Inc"
505,84:3d:c6:09:ff:80,"Cisco Systems, Inc"
506,00:2a:10:f3:9b:bf,"Cisco Systems, Inc"
508,84:3d:c6:06:01:f0,"Cisco Systems, Inc"
509,00:2a:10:f3:9a:f4,"Cisco Systems, Inc"
510,00:2a:10:1a:fe:fb,"Cisco Systems, Inc"
512,d8:eb:97:a7:38:fa,"TRENDnet, Inc"
514,00:2a:10:f4:b0:5b,"Cisco Systems, Inc"
515,00:2a:10:1a:fe:fb,"Cisco Systems, Inc"
516,00:2a:10:1a:fe:fb,"Cisco Systems, Inc"
517,50:0f:80:75:62:2b,"Cisco Systems, Inc"
518,50:0f:80:7d:b2:4b,"Cisco Systems, Inc"
519,50:0f:80:75:62:2b,"Cisco Systems, Inc"
520,c0:ff:d4:bd:41:90,Netgear
521,5c:50:15:1c:8d:7b,"Cisco Systems, Inc"
522,5c:50:15:1c:8d:74,"Cisco Systems, Inc"
523,5c:50:15:36:85:eb,"Cisco Systems, Inc"
524,2c:36:f8:d9:f2:24,"Cisco Systems, Inc"
525,50:0f:80:fe:f9:6b,"Cisco Systems, Inc"
526,5c:50:15:1c:8d:7b,"Cisco Systems, Inc"
527,00:2a:10:13:7d:ab,"Cisco Systems, Inc"
528,00:2a:10:13:7d:ab,"Cisco Systems, Inc"
529,00:2a:10:c8:15:cb,"Cisco Systems, Inc"
530,40:ce:24:dc:cd:64,"Cisco Systems, Inc"
531,50:0f:80:ed:71:0b,"Cisco Systems, Inc"
532,50:0f:80:7d:b2:64,"Cisco Systems, Inc"
533,50:0f:80:7d:b2:44,"Cisco Systems, Inc"
534,00:2a:10:c8:15:cb,"Cisco Systems, Inc"
